,primaryTitle,startYear,genres,averageRating,numVotes
103,Lee Daniels' The Butler,2013.0,Biography Drama,7.2,107967
104,Men of Honor,2000.0,Biography Drama,7.2,106554
105,The Two Popes,2019.0,Biography Comedy Drama,7.6,103712
106,The Queen,2006.0,Biography Drama History,7.3,103703
107,The Diving Bell and the Butterfly,2007.0,Biography Drama,8.0,102794
108,Frost/Nixon,2008.0,Biography Drama History,7.7,102708
109,All the President's Men,1976.0,Biography Drama History,8.0,101767
110,The Basketball Diaries,1995.0,Biography Crime Drama,7.3,101310
111,Rescue Dawn,2006.0,Action Biography Drama,7.3,100627
112,Born on the Fourth of July,1989.0,Biography Drama War,7.2,97761
113,Ip Man 2,2010.0,Action Biography Drama,7.5,97099
114,The Motorcycle Diaries,2004.0,Adventure Biography Drama,7.8,96209
115,Good Night  and Good Luck.,2005.0,Biography Drama History,7.4,93753
116,Philomena,2013.0,Biography Comedy Drama,7.6,93671
117,The Last Emperor,1987.0,Biography Drama History,7.7,93465
118,Elizabeth,1998.0,Biography Drama History,7.4,92618
119,Boys Don't Cry,1999.0,Biography Crime Drama,7.5,91950
120,The Hurricane,1999.0,Biography Drama Sport,7.6,91002
121,When They See Us,2019.0,Biography Crime Drama,8.9,88079
122,Persepolis,2007.0,Animation Biography Drama,8.0,88074
123,The People vs. Larry Flynt,1996.0,Biography Drama,7.3,87590
124,Concussion,2015.0,Biography Drama Sport,7.1,86003
125,42,2013.0,Biography Drama Sport,7.5,85681
126,The King,2019.0,Biography Drama History,7.2,85648
127,Selma,2014.0,Biography Drama History,7.5,85565
128,Malcolm X,1992.0,Biography Drama History,7.7,84920
129,Eddie the Eagle,2015.0,Biography Comedy Drama,7.4,84370
130,The Doors,1991.0,Biography Drama Music,7.2,83322
131,La Vie En Rose,2007.0,Biography Drama Music,7.6,82301
132,October Sky,1999.0,Biography Drama Family,7.8,82097
133,The Straight Story,1999.0,Biography Drama,8.0,81202
134,Frida,2002.0,Biography Drama Romance,7.4,80838
135,American Crime Story,2016.0,Biography Crime Drama,8.4,78837
136,The Sea Inside,2004.0,Biography Drama,8.0,77126
137,Trumbo,2015.0,Biography Crime Drama,7.5,75943
138,Scam 1992: The Harshad Mehta Story,2020.0,Biography Crime Drama,9.4,75647
139,Fruitvale Station,2013.0,Biography Crime Drama,7.5,75075
140,The Last Dance,2020.0,Biography Documentary History,9.2,74331
141,Midnight Express,1978.0,Biography Crime Drama,7.6,73175
142,Da Vinci's Demons,2013.0,Adventure Biography Drama,8.0,73024
143,Fearless,2006.0,Action Biography Drama,7.6,72626
144,The Wind Rises,2013.0,Animation Biography Drama,7.8,72422
145,Out of Africa,1985.0,Biography Drama Romance,7.2,72097
146,Amistad,1997.0,Biography Drama History,7.3,70702
147,Freedom Writers,2007.0,Biography Crime Drama,7.5,69393
148,My Left Foot,1989.0,Biography Drama,7.9,67405
149,Invincible,2006.0,Biography Drama Sport,7.1,65752
150,Agora,2009.0,Adventure Biography Drama,7.2,65715
151,Hunger,2008.0,Biography Drama,7.6,65493
152,Fighting with My Family,2019.0,Biography Comedy Drama,7.1,65055
153,Quiz Show,1994.0,Biography Drama History,7.5,64319
154,Senna,2010.0,Biography Documentary Sport,8.5,63623
155,Searching for Sugar Man,2012.0,Biography Documentary Music,8.2,63434
156,Blackfish,2013.0,Biography Documentary News,8.1,61438
157,Control,2007.0,Biography Drama Music,7.7,61291
158,Bhaag Milkha Bhaag,2013.0,Biography Drama Sport,8.2,60570
159,The Devil's Double,2011.0,Biography Drama Thriller,7.1,60016
160,Heavenly Creatures,1994.0,Biography Crime Drama,7.3,58631
161,A Beautiful Day in the Neighborhood,2019.0,Biography Drama,7.3,57665
162,The Young Victoria,2009.0,Biography Drama History,7.3,57443
163,Only the Brave,2017.0,Action Biography Drama,7.6,57194
164,Richard Jewell,2019.0,Biography Crime Drama,7.5,56877
165,Rudy,1993.0,Biography Drama Sport,7.5,56222
166,The Right Stuff,1983.0,Adventure Biography Drama,7.8,55927
167,The Great Debaters,2007.0,Biography Drama Romance,7.5,55672
168,Dark Waters,2019.0,Biography Drama History,7.6,54834
169,Waltz with Bashir,2008.0,Animation Biography Documentary,8.0,54826
170,Chariots of Fire,1981.0,Biography Drama Sport,7.2,54375
171,Woman in Gold,2015.0,Biography Drama History,7.3,53479
172,Papillon,2017.0,Adventure Biography Crime,7.2,53227
173,Chaplin,1992.0,Biography Comedy Drama,7.6,53050
174,Grizzly Man,2005.0,Biography Documentary,7.8,52840
175,Man on Wire,2008.0,Biography Crime Documentary,7.7,52427
176,Citizenfour,2014.0,Biography Documentary History,8.0,52159
177,Aguirre  the Wrath of God,1972.0,Action Adventure Biography,7.9,51942
178,Beautiful Boy,2018.0,Biography Drama,7.3,51893
179,Lords of Dogtown,2005.0,Biography Drama Sport,7.1,51818
180,The World's Fastest Indian,2005.0,Biography Drama Sport,7.8,51717
181,Dolemite Is My Name,2019.0,Biography Comedy Drama,7.3,51514
182,Quills,2000.0,Biography Drama,7.3,51388
183,Pride,2014.0,Biography Comedy Drama,7.8,51384
184,The Killing Fields,1984.0,Biography Drama History,7.8,51251
185,Shine,1996.0,Biography Drama Music,7.7,51041
186,The Man Who Knew Infinity,2015.0,Biography Drama,7.2,50681
187,Alive,1993.0,Biography Drama Thriller,7.1,50535
188,Loving Vincent,2017.0,Animation Biography Crime,7.8,49993
189,Hamilton,2020.0,Biography Drama History,8.6,49503
190,Manhunt,2017.0,Biography Crime Drama,8.1,48987
191,Ip Man 3,2015.0,Action Biography Drama,7.1,48719
192,Amy,2015.0,Biography Documentary Music,7.8,48299
193,Miracle,2004.0,Biography Drama History,7.5,47624
194,American Splendor,2003.0,Biography Comedy Drama,7.4,47472
195,Colonia,2015.0,Biography Drama History,7.1,47400
196,The Cove,2009.0,Biography Crime Documentary,8.4,47117
197,Sanju,2018.0,Biography Comedy Drama,7.8,46934
198,This Boy's Life,1993.0,Biography Drama,7.3,46715
199,Can You Ever Forgive Me?,2018.0,Biography Comedy Crime,7.1,46121
200,Kon-Tiki,2012.0,Adventure Biography Drama,7.2,45617
201,Kill the Irishman,2011.0,Biography Crime Drama,7.1,45541
202,The Imposter,2012.0,Biography Crime Documentary,7.5,45008
203,Mongol: The Rise of Genghis Khan,2007.0,Action Biography Drama,7.2,44469
204,Che: Part One,2008.0,Biography Drama History,7.2,44087
205,Just Mercy,2019.0,Biography Crime Drama,7.6,44033
206,A Royal Affair,2012.0,Biography Drama History,7.5,43912
207,The Message,1976.0,Biography Drama History,8.2,43600
208,Anthropoid,2016.0,Action Biography Drama,7.2,43465
209,Glory Road,2006.0,Biography Drama Sport,7.2,42884
210,Conviction,2010.0,Biography Crime Drama,7.2,42057
211,The Damned United,2009.0,Biography Drama Sport,7.5,41218
212,The Sessions,2012.0,Biography Comedy Drama,7.2,41086
213,The Mirror,1975.0,Biography Drama,8.1,39397
214,M.S. Dhoni: The Untold Story,2016.0,Biography Drama Sport,7.8,39242
215,The Railway Man,2013.0,Biography Drama Romance,7.1,37287
216,Chopper,2000.0,Biography Crime Drama,7.2,36036
217,Love & Mercy,2014.0,Biography Drama Music,7.4,35837
218,The Baader Meinhof Complex,2008.0,Action Biography Crime,7.4,35570
219,McFarland  USA,2015.0,Biography Drama Sport,7.4,35174
220,Togo,2019.0,Adventure Biography Drama,8.0,35029
221,The Act of Killing,2012.0,Biography Crime Documentary,8.2,34947
222,Nowhere Boy,2009.0,Biography Drama Music,7.1,34929
223,The King of Kong: A Fistful of Quarters,2007.0,Biography Documentary Sport,8.1,34603
224,Race,2016.0,Biography Drama Sport,7.1,34559
225,Ayla: The Daughter of War,2017.0,Biography Drama History,8.4,33390
226,Il Postino,1994.0,Biography Comedy Drama,7.7,33346
227,24 Hour Party People,2002.0,Biography Comedy Drama,7.3,33050
228,Dear Zachary: A Letter to a Son About His Father,2008.0,Biography Crime Documentary,8.5,33037
229,Paan Singh Tomar,2012.0,Action Biography Crime,8.2,32950
230,Antwone Fisher,2002.0,Biography Drama,7.3,32766
231,An American Crime,2007.0,Biography Crime Drama,7.3,32204
232,The Professor and the Madman,2019.0,Biography Drama,7.3,32200
233,The Report,2019.0,Biography Crime Drama,7.2,32180
234,Mesrine: Killer Instinct,2008.0,Action Biography Crime,7.5,31960
235,The Whistleblower,2010.0,Biography Crime Drama,7.1,31541
236,Stan & Ollie,2018.0,Biography Comedy Drama,7.2,31487
237,Official Secrets,2019.0,Biography Crime Drama,7.3,31446
238,The Legend Is Born: Ip Man,2010.0,Action Biography Drama,7.1,31166
239,Chasing Mavericks,2012.0,Biography Drama Sport,7.2,30661
240,Searching for Bobby Fischer,1993.0,Biography Drama,7.4,29636
241,Michael Collins,1996.0,Biography Drama Thriller,7.2,29349
242,The Glass Castle,2017.0,Biography Drama,7.1,29262
243,Gods and Monsters,1998.0,Biography Drama,7.3,29149
244,Nixon,1995.0,Biography Drama History,7.1,28631
245,The End of the Tour,2015.0,Biography Drama,7.3,28612
246,Bad Education,2019.0,Biography Comedy Crime,7.1,28563
247,Mesrine: Public Enemy No. 1,2008.0,Action Biography Crime,7.5,28273
248,John Adams,2008.0,Biography Drama History,8.5,28163
249,Henry V,1989.0,Action Biography Drama,7.5,28058
250,Belle,2013.0,Biography Drama Romance,7.3,27975
251,The Greatest Game Ever Played,2005.0,Biography Drama Sport,7.4,27962
252,Cobain: Montage of Heck,2015.0,Animation Biography Documentary,7.5,27829
253,Tracks,2013.0,Adventure Biography Drama,7.2,27682
254,A Street Cat Named Bob,2016.0,Biography Drama Family,7.4,27630
255,Rabbit-Proof Fence,2002.0,Adventure Biography Drama,7.4,27293
256,Three Identical Strangers,2018.0,Biography Documentary Drama,7.7,26933
257,The Good Lie,2014.0,Biography Drama,7.4,26918
258,Testament of Youth,2014.0,Biography Drama History,7.3,26462
259,Secretariat,2010.0,Biography Drama Family,7.2,26373
260,Mandela: Long Walk to Freedom,2013.0,Biography Drama History,7.1,26355
261,Sophie Scholl: The Final Days,2005.0,Biography Crime Drama,7.6,26344
