,primaryTitle,startYear,genres,averageRating,adult
110,White Slavers,1974.0,Adult Crime,6.5,1
111,The Sleazy Detective,1988.0,Adult,6.5,1
112,Passages 1,1991.0,Adult,6.5,1
113,Blue Bayou,1993.0,Adult Drama Fantasy,6.5,1
114,Blowin' the Whistle,1987.0,Adult,6.5,1
115,Caught from Behind 9,1988.0,Adult,6.5,1
116,A Woman Scorned,1995.0,Adult,6.5,1
117,Executive Sweets,1979.0,Adult Short,6.4,1
118,Babewatch 6,1998.0,Adult,6.4,1
119,Private Film 13: Virgin Treasures 2,1994.0,Adult,6.4,1
120,The Secret Garden Part II,1992.0,Adult Drama Fantasy,6.4,1
121,Date from Hell,1998.0,Adult Comedy Drama,6.4,1
122,The Adventures of Buttgirl and Wonder Wench,1991.0,Adult,6.4,1
123,Les délices du tossing,1983.0,Adult,6.4,1
124,Melanie's Hot Line,1975.0,Adult,6.4,1
125,Teaser,1986.0,Adult,6.4,1
126,Breast Stroke 2,1989.0,Adult,6.4,1
127,Bondage Stories 6,2006.0,Adult Adventure,6.3,1
128,UninhiBIted,1989.0,Adult,6.3,1
129,Way of the Dragon,2005.0,Adult,6.3,1
130,Fast Times at Deep Crack High 4,2001.0,Adult,6.3,1
131,Aroused 2,1995.0,Adult,6.3,1
132,Lust & Desire,1996.0,Adult,6.3,1
133,World's Biggest Gang Bang 2,1996.0,Adult,6.3,1
134,Blue Movie,1989.0,Adult,6.3,1
135,Heiss am Stiel,1989.0,Adult,6.3,1
136,The Blonde & the Beautiful,1993.0,Adult,6.3,1
137,Looking for Mr. Goodsex,1985.0,Adult Drama,6.3,1
138,High School Memories,1981.0,Adult Comedy Drama,6.3,1
139,Ninja CPA,1993.0,Adult,6.3,1
140,Black Angel,1987.0,Adult,6.2,1
141,London's Sorority House,2002.0,Adult,6.2,1
142,ManWatcher,1998.0,Adult,6.2,1
143,I'm No Virgin,1971.0,Adult Drama,6.1,1
144,American Bukkake 25,2004.0,Adult,6.1,1
145,The Black Detail 2,1994.0,Adult Mystery Romance,6.1,1
146,Tracie Lords,1984.0,Adult,6.1,1
147,Lipstick,2000.0,Adult Mystery Romance,6.1,1
148,Jezebel,1979.0,Adult Drama Fantasy,6.1,1
