,titleType,primaryTitle,startYear,genres,averageRating,numVotes
120,movie,Men of Honor,2000.0,Biography Drama,7.2,106554
121,movie,My Cousin Vinny,1992.0,Comedy Crime,7.6,106190
122,movie,A Scanner Darkly,2006.0,Animation Crime Drama,7.1,106073
123,movie,The Host,2006.0,Action Drama Horror,7.1,105997
124,movie,Across the Universe,2007.0,Drama Fantasy History,7.3,105725
125,movie,A Single Man,2009.0,Drama Romance,7.6,105376
126,movie,Precious,2009.0,Drama,7.3,105174
127,movie,Little Children,2006.0,Drama Romance,7.5,105080
129,movie,Sixteen Candles,1984.0,Comedy Romance,7.1,104661
130,movie,The Mountain II,2016.0,Action Drama War,8.8,104621
131,movie,Caddyshack,1980.0,Comedy Sport,7.3,104332
132,movie,Lagaan: Once Upon a Time in India,2001.0,Adventure Drama Musical,8.1,104205
133,movie,Talk to Her,2002.0,Drama Mystery Romance,7.9,104075
134,movie,The Two Popes,2019.0,Biography Comedy Drama,7.6,103712
135,movie,The Queen,2006.0,Biography Drama History,7.3,103703
137,movie,Creed II,2018.0,Drama Sport,7.1,103459
138,movie,The Man Who Wasn't There,2001.0,Crime Drama,7.5,103450
139,movie,The Edge of Seventeen,2016.0,Comedy Drama,7.3,103098
140,movie,August Rush,2007.0,Drama Music,7.5,103049
141,movie,Okja,2017.0,Action Adventure Drama,7.3,103009
142,movie,The Diving Bell and the Butterfly,2007.0,Biography Drama,8.0,102794
143,movie,Frost/Nixon,2008.0,Biography Drama History,7.7,102708
144,movie,The Wave,2008.0,Drama Thriller,7.6,102083
147,movie,Baahubali: The Beginning,2015.0,Action Drama,8.0,101896
148,movie,What Dreams May Come,1998.0,Drama Fantasy Romance,7.1,101769
149,movie,All the President's Men,1976.0,Biography Drama History,8.0,101767
150,movie,Eraserhead,1977.0,Fantasy Horror,7.4,101759
151,movie,How to Train Your Dragon: The Hidden World,2019.0,Action Adventure Animation,7.5,101722
152,movie,Treasure Planet,2002.0,Adventure Animation Family,7.2,101615
153,movie,Dancer in the Dark,2000.0,Crime Drama Musical,8.0,101487
154,movie,Sense and Sensibility,1995.0,Drama Romance,7.6,101451
155,movie,The Name of the Rose,1986.0,Crime Drama Mystery,7.7,101347
156,movie,The Basketball Diaries,1995.0,Biography Crime Drama,7.3,101310
159,movie,Filth,2013.0,Comedy Crime Drama,7.1,101071
160,movie,Crimson Tide,1995.0,Action Drama Thriller,7.3,100999
161,movie,Super Size Me,2004.0,Documentary,7.2,100725
162,movie,Frequency,2000.0,Crime Drama Mystery,7.3,100695
163,movie,Rescue Dawn,2006.0,Action Biography Drama,7.3,100627
164,movie,Brick,2005.0,Action Crime Drama,7.3,100581
