,titleType,primaryTitle,startYear,genres,averageRating,numVotes
347,movie,Drishyam,2015.0,Crime Drama Mystery,8.2,68861
349,movie,The White Ribbon,2009.0,Drama History Mystery,7.8,68241
355,movie,The Station Agent,2003.0,Comedy Drama,7.6,67122
356,movie,Zindagi Na Milegi Dobara,2011.0,Comedy Drama,8.1,67091
357,movie,Love Me If You Dare,2003.0,Comedy Drama Romance,7.6,67047
368,movie,Dil Chahta Hai,2001.0,Comedy Drama Romance,8.1,66282
373,movie,Mysterious Skin,2004.0,Drama,7.6,65684
375,movie,Hunger,2008.0,Biography Drama,7.6,65493
382,movie,House of Sand and Fog,2003.0,Crime Drama,7.5,64926
394,movie,Senna,2010.0,Biography Documentary Sport,8.5,63623
396,movie,Celda 211,2009.0,Action Adventure Crime,7.6,63539
398,movie,Miss Sloane,2016.0,Drama,7.5,63440
399,movie,Searching for Sugar Man,2012.0,Biography Documentary Music,8.2,63434
400,movie,Rust and Bone,2012.0,Drama Romance,7.5,63433
406,movie,Kal Ho Naa Ho,2003.0,Comedy Drama Musical,8.0,62904
407,movie,The Man from Nowhere,2010.0,Action Crime Drama,7.8,62201
408,movie,The Peanut Butter Falcon,2019.0,Adventure Comedy Drama,7.6,62161
409,movie,Sympathy for Mr. Vengeance,2002.0,Crime Drama Thriller,7.6,62127
410,movie,Exit Through the Gift Shop,2010.0,Comedy Crime Documentary,8.0,62105
416,movie,13 Assassins,2010.0,Action Adventure Drama,7.6,61607
419,movie,Blackfish,2013.0,Biography Documentary News,8.1,61438
420,movie,Control,2007.0,Biography Drama Music,7.7,61291
428,movie,Bhaag Milkha Bhaag,2013.0,Biography Drama Sport,8.2,60570
429,movie,Shoplifters,2018.0,Crime Drama,8.0,60526
430,movie,Waking Life,2001.0,Animation Drama Fantasy,7.8,60429
431,movie,Queen,2013.0,Adventure Comedy Drama,8.2,60297
433,movie,Paddington 2,2017.0,Adventure Comedy Family,7.8,59829
434,movie,The Girl Who Leapt Through Time,2006.0,Adventure Animation Comedy,7.7,59802
436,movie,Capernaum,2018.0,Drama,8.4,59494
439,movie,Portrait of a Lady on Fire,2019.0,Drama Romance,8.1,58648
447,movie,The Social Dilemma,2020.0,Documentary Drama,7.7,57893
449,movie,The Chaser,2008.0,Action Crime Thriller,7.8,57711
454,movie,Kahaani,2012.0,Mystery Thriller,8.1,57356
455,movie,Religulous,2008.0,Comedy Documentary War,7.6,57299
456,movie,Only the Brave,2017.0,Action Biography Drama,7.6,57194
