,primaryTitle,startYear,genres,averageRating
118,A Single Man,2009,Drama Romance,7.6
119,Little Children,2006,Drama Romance,7.5
120,Sex and the City,1998,Comedy Drama Romance,7.1
121,Sixteen Candles,1984,Comedy Romance,7.1
122,Talk to Her,2002,Drama Mystery Romance,7.9
123,This Is Us,2016,Comedy Drama Romance,8.7
124,What Dreams May Come,1998,Drama Fantasy Romance,7.1
125,Sense and Sensibility,1995,Drama Romance,7.6
126,Tootsie,1982,Comedy Drama Romance,7.4
127,"Love, Simon",2018,Comedy Drama Romance,7.6
128,The Cider House Rules,1999,Drama Romance,7.4
129,Amour,2012,Drama Romance,7.9
130,The Best Exotic Marigold Hotel,2011,Comedy Drama Romance,7.2
131,Three Colors: Red,1994,Drama Mystery Romance,8.1
132,Malena,2000,Comedy Drama Romance,7.5
133,Election,1999,Comedy Drama Romance,7.2
134,The Painted Veil,2006,Drama Romance,7.5
135,Beginners,2010,Comedy Drama Romance,7.2
136,Biutiful,2010,Drama Romance,7.5
137,Witness,1985,Crime Drama Romance,7.4
138,Submarine,2010,Comedy Drama Romance,7.3
139,To All the Boys I've Loved Before,2018,Comedy Drama Romance,7.1
140,Crazy Heart,2009,Drama Music Romance,7.2
141,Stuck in Love.,2012,Comedy Drama Romance,7.2
142,Cashback,2006,Comedy Drama Romance,7.2
143,Say Anything,1989,Comedy Drama Romance,7.3
144,Jane Eyre,2011,Drama Romance,7.3
145,Flipped,2010,Comedy Drama Romance,7.7
146,Frida,2002,Biography Drama Romance,7.4
147,The O.C.,2003,Comedy Drama Romance,7.5
148,The Piano,1993,Drama Music Romance,7.6
149,"Spring, Summer, Fall, Winter... and Spring",2003,Drama Romance,8.0
150,The Longest Ride,2015,Drama Romance,7.1
151,Barfi!,2012,Comedy Drama Romance,8.1
152,Pride and Prejudice,1995,Drama Romance,8.8
153,Notes on a Scandal,2006,Crime Drama Romance,7.4
154,Frances Ha,2012,Comedy Drama Romance,7.5
155,The Bridges of Madison County,1995,Drama Romance,7.6
156,Out of Africa,1985,Biography Drama Romance,7.2
157,One Tree Hill,2003,Drama Romance Sport,7.7
158,Whatever Works,2009,Comedy Romance,7.1
159,A Very Long Engagement,2004,Drama Mystery Romance,7.6
160,Harold and Maude,1971,Comedy Drama Romance,7.9
161,"Paris, je t'aime",2006,Comedy Drama Romance,7.2
162,Paterson,2016,Comedy Drama Romance,7.4
163,The Tudors,2007,Drama History Romance,8.1
164,Love Me If You Dare,2003,Comedy Drama Romance,7.6
165,Open Range,2003,Action Drama Romance,7.4
166,Dil Chahta Hai,2001,Comedy Drama Romance,8.1
167,The Remains of the Day,1993,Drama Romance,7.8
168,Dangerous Liaisons,1988,Drama Romance,7.6
169,Wings of Desire,1987,Drama Fantasy Romance,8.0
170,Rust and Bone,2012,Drama Romance,7.5
171,Three Colors: White,1994,Comedy Drama Romance,7.6
172,Dilwale Dulhania Le Jayenge,1995,Drama Romance,8.1
173,Portrait of a Lady on Fire,2019,Drama Romance,8.1
174,The Legend of 1900,1998,Drama Music Romance,8.1
175,Perfect Sense,2011,Drama Romance Sci-Fi,7.1
176,The Great Debaters,2007,Biography Drama Romance,7.5
177,Benny & Joon,1993,Comedy Drama Romance,7.2
178,Big Mouth,2017,Animation Comedy Romance,8.0
179,The Age of Innocence,1993,Drama Romance,7.2
180,Days of Heaven,1978,Drama Romance,7.8
181,Victoria,2015,Crime Drama Romance,7.6
182,Little Women,1994,Drama Family Romance,7.3
183,The Light Between Oceans,2016,Drama Romance,7.2
184,Head-On,2004,Drama Romance,7.9
185,The Crying Game,1992,Crime Drama Romance,7.2
186,Will & Grace,1998,Comedy Romance,7.2
187,2046,2004,Drama Romance Sci-Fi,7.4
188,"Black Cat, White Cat",1998,Comedy Crime Romance,8.1
189,3-Iron,2004,Crime Drama Romance,8.0
190,The Lunchbox,2013,Drama Romance,7.8
191,ER,1994,Drama Romance,7.7
192,Show Me Love,1998,Comedy Drama Romance,7.5
193,Moonstruck,1987,Comedy Drama Romance,7.1
194,The Flowers of War,2011,Drama History Romance,7.6
195,Andaz Apna Apna,1994,Action Comedy Romance,8.2
196,Buffalo '66,1998,Comedy Drama Romance,7.5
197,Bull Durham,1988,Comedy Romance Sport,7.1
198,Jab We Met,2007,Comedy Drama Romance,7.9
199,Steel Magnolias,1989,Comedy Drama Romance,7.3
200,The Purple Rose of Cairo,1985,Comedy Fantasy Romance,7.7
