,primaryTitle,startYear,genres,averageRating,numVotes
208,The Bourne Identity,2002.0,"Action,Mystery,Thriller",7.9,505287
209,Spider-Man: Homecoming,2017.0,"Action,Adventure,Sci-Fi",7.4,505050
210,Minority Report,2002.0,"Action,Crime,Mystery",7.6,504907
211,Harry Potter and the Order of the Phoenix,2007.0,"Action,Adventure,Family",7.5,504831
213,Watchmen,2009.0,"Action,Drama,Mystery",7.6,497774
216,"I, Robot",2004.0,"Action,Drama,Sci-Fi",7.1,496023
218,Rise of the Planet of the Apes,2011.0,"Action,Drama,Sci-Fi",7.6,493889
225,Source Code,2011.0,"Action,Drama,Mystery",7.5,481771
229,Deadpool 2,2018.0,"Action,Adventure,Comedy",7.7,472165
230,Prison Break,2005.0,"Action,Crime,Drama",8.3,470479
236,Harry Potter and the Half-Blood Prince,2009.0,"Action,Adventure,Family",7.6,468475
241,Star Trek Into Darkness,2013.0,"Action,Adventure,Sci-Fi",7.7,461396
242,Hot Fuzz,2007.0,"Action,Comedy,Mystery",7.8,460325
247,Mission: Impossible - Ghost Protocol,2011.0,"Action,Adventure,Thriller",7.4,454677
248,Blade Runner 2049,2017.0,"Action,Drama,Mystery",8.0,454150
251,Indiana Jones and the Temple of Doom,1984.0,"Action,Adventure",7.6,445284
259,American Sniper,2014.0,"Action,Biography,Drama",7.3,436027
260,Baby Driver,2017.0,"Action,Crime,Music",7.6,432992
261,Warrior,2011.0,"Action,Drama,Sport",8.2,432951
263,The Bourne Supremacy,2004.0,"Action,Mystery,Thriller",7.7,432129
264,The Fifth Element,1997.0,"Action,Adventure,Sci-Fi",7.7,431085
265,Rush,2013.0,"Action,Biography,Drama",8.1,429357
272,Fury,2014.0,"Action,Drama,War",7.6,422081
276,Sherlock Holmes: A Game of Shadows,2011.0,"Action,Adventure,Mystery",7.5,418341
282,Vikings,2013.0,"Action,Adventure,Drama",8.5,416303
284,Kung Fu Panda,2008.0,"Action,Adventure,Animation",7.5,415964
290,Dawn of the Planet of the Apes,2014.0,"Action,Adventure,Drama",7.6,409862
291,Big Hero 6,2014.0,"Action,Adventure,Animation",7.8,407073
293,Arrow,2012.0,"Action,Adventure,Crime",7.5,405203
302,The Last Samurai,2003.0,"Action,Drama",7.7,397352
306,King Kong,2005.0,"Action,Adventure,Drama",7.2,388244
309,Live Free or Die Hard,2007.0,"Action,Thriller",7.1,387244
312,Mission: Impossible,1996.0,"Action,Adventure,Thriller",7.1,385128
317,Scott Pilgrim vs. the World,2010.0,"Action,Comedy,Fantasy",7.5,375433
322,Band of Brothers,2001.0,"Action,Drama,History",9.4,369909
326,Predator,1987.0,"Action,Adventure,Sci-Fi",7.8,368973
328,Sicario,2015.0,"Action,Crime,Drama",7.6,367424
330,Fast & Furious 6,2013.0,"Action,Adventure,Thriller",7.1,366417
338,Ready Player One,2018.0,"Action,Adventure,Sci-Fi",7.5,363363
339,Spider-Man: Into the Spider-Verse,2018.0,"Action,Adventure,Animation",8.4,363079
343,Die Hard with a Vengeance,1995.0,"Action,Adventure,Thriller",7.6,361217
344,John Wick: Chapter 2,2017.0,"Action,Crime,Thriller",7.5,361125
348,Daredevil,2015.0,"Action,Crime,Drama",8.6,358458
351,Furious 7,2015.0,"Action,Adventure,Thriller",7.1,357151
357,Ghostbusters,1984.0,"Action,Comedy,Fantasy",7.8,352754
359,Fast Five,2011.0,"Action,Adventure,Crime",7.3,350496
363,Face/Off,1997.0,"Action,Crime,Sci-Fi",7.2,347228
365,Cloud Atlas,2012.0,"Action,Drama,Mystery",7.4,343209
367,The Game,1997.0,"Action,Drama,Mystery",7.8,342152
370,Mission: Impossible - Rogue Nation,2015.0,"Action,Adventure,Thriller",7.4,339439
373,Batman,1989.0,"Action,Adventure",7.5,336288
376,Die Hard 2,1990.0,"Action,Thriller",7.2,334150
381,The Equalizer,2014.0,"Action,Crime,Thriller",7.2,330561
391,Man on Fire,2004.0,"Action,Crime,Drama",7.7,327311
392,Speed,1994.0,"Action,Adventure,Thriller",7.2,326204
394,The Lego Movie,2014.0,"Action,Adventure,Animation",7.7,322328
404,Spider-Man: Far from Home,2019.0,"Action,Adventure,Sci-Fi",7.5,316553
407,Snowpiercer,2013.0,"Action,Drama,Sci-Fi",7.1,314895
410,The Rock,1996.0,"Action,Adventure,Thriller",7.4,311882
412,Equilibrium,2002.0,"Action,Drama,Sci-Fi",7.4,310334
416,Shooter,2007.0,"Action,Drama,Thriller",7.2,308715
420,Ant-Man and the Wasp,2018.0,"Action,Adventure,Comedy",7.1,303966
422,How to Train Your Dragon 2,2014.0,"Action,Adventure,Animation",7.8,302824
423,The Flash,2014.0,"Action,Adventure,Drama",7.7,302785
425,Total Recall,1990.0,"Action,Sci-Fi,Thriller",7.5,300239
427,Lucky Number Slevin,2006.0,"Action,Crime,Drama",7.7,298556
429,Real Steel,2011.0,"Action,Drama,Sci-Fi",7.1,296803
434,Lord of War,2005.0,"Action,Crime,Drama",7.6,292633
437,Deja Vu,2006.0,"Action,Crime,Sci-Fi",7.1,291527
439,Apocalypto,2006.0,"Action,Adventure,Drama",7.8,289376
443,10 Cloverfield Lane,2016.0,"Action,Drama,Horror",7.2,288042
446,Mission: Impossible - Fallout,2018.0,"Action,Adventure,Thriller",7.7,287838
447,3:10 to Yuma,2007.0,"Action,Crime,Drama",7.7,287105
449,The Witcher,2019.0,"Action,Adventure,Fantasy",8.2,286028
451,Money Heist,2017.0,"Action,Crime,Mystery",8.3,285601
454,From Dusk Till Dawn,1996.0,"Action,Crime,Horror",7.2,284906
457,Serenity,2005.0,"Action,Adventure,Sci-Fi",7.8,282124
461,Ford v Ferrari,2019.0,"Action,Biography,Drama",8.1,279264
467,The Nice Guys,2016.0,"Action,Comedy,Crime",7.4,276459
475,The Man from U.N.C.L.E.,2015.0,"Action,Adventure,Comedy",7.3,271405
479,Law Abiding Citizen,2009.0,"Action,Crime,Drama",7.4,269780
480,John Wick: Chapter 3 - Parabellum,2019.0,"Action,Crime,Thriller",7.4,269336
483,Starship Troopers,1997.0,"Action,Adventure,Sci-Fi",7.2,267700
486,The Fugitive,1993.0,"Action,Crime,Drama",7.8,265588
487,Kingdom of Heaven,2005.0,"Action,Adventure,Drama",7.2,265473
491,Lone Survivor,2013.0,"Action,Biography,Drama",7.5,264547
496,The Accountant,2016.0,"Action,Crime,Drama",7.3,257879
502,The Patriot,2000.0,"Action,Drama,History",7.2,253158
506,"Crouching Tiger, Hidden Dragon",2000.0,"Action,Adventure,Fantasy",7.8,251668
507,Kung Fu Panda 2,2011.0,"Action,Adventure,Animation",7.2,251477
512,Predestination,2014.0,"Action,Drama,Sci-Fi",7.5,250275
513,Shazam!,2019.0,"Action,Adventure,Comedy",7.1,249406
514,Dredd,2012.0,"Action,Crime,Sci-Fi",7.1,249292
518,Incredibles 2,2018.0,"Action,Adventure,Animation",7.6,245670
525,Blade,1998.0,"Action,Horror,Sci-Fi",7.1,243346
532,Avatar: The Last Airbender,2005.0,"Action,Adventure,Animation",9.2,241138
542,GoldenEye,1995.0,"Action,Adventure,Thriller",7.2,237488
545,The Mandalorian,2019.0,"Action,Adventure,Sci-Fi",8.7,236166
546,True Lies,1994.0,"Action,Adventure,Comedy",7.2,236054
549,Lethal Weapon,1987.0,"Action,Crime,Thriller",7.6,235061
554,RocknRolla,2008.0,"Action,Crime,Thriller",7.3,234545
560,Dawn of the Dead,2004.0,"Action,Horror",7.3,233023
566,RoboCop,1987.0,"Action,Crime,Sci-Fi",7.5,231415
578,End of Watch,2012.0,"Action,Crime,Drama",7.6,226744
579,Megamind,2010.0,"Action,Animation,Comedy",7.2,226552
580,Eastern Promises,2007.0,"Action,Crime,Drama",7.6,226398
581,The Boondock Saints,1999.0,"Action,Crime,Thriller",7.8,226293
582,Star Trek Beyond,2016.0,"Action,Adventure,Sci-Fi",7.1,226155
583,War for the Planet of the Apes,2017.0,"Action,Adventure,Drama",7.4,225846
585,Enemy of the State,1998.0,"Action,Thriller",7.3,225778
586,The Boys,2019.0,"Action,Comedy,Crime",8.7,225178
588,First Blood,1982.0,"Action,Adventure",7.7,224632
589,Alita: Battle Angel,2019.0,"Action,Adventure,Sci-Fi",7.3,224612
590,Pitch Black,2000.0,"Action,Horror,Sci-Fi",7.1,224514
599,Spartacus,2010.0,"Action,Adventure,Biography",8.5,221138
609,Southpaw,2015.0,"Action,Drama,Sport",7.4,216030
611,The Gentlemen,2019.0,"Action,Comedy,Crime",7.8,215660
612,The Adventures of Tintin,2011.0,"Action,Adventure,Animation",7.3,215369
613,Natural Born Killers,1994.0,"Action,Crime,Drama",7.3,215264
627,Body of Lies,2008.0,"Action,Drama,Thriller",7.1,212302
632,Munich,2005.0,"Action,Drama,History",7.5,211091
635,Ip Man,2008.0,"Action,Biography,Drama",8.0,210228
636,Gotham,2014.0,"Action,Crime,Drama",7.8,210155
645,Tenet,2020.0,"Action,Sci-Fi",7.6,205706
652,Rocky Balboa,2006.0,"Action,Drama,Sport",7.1,203010
655,Hell or High Water,2016.0,"Action,Crime,Drama",7.6,202021
657,Master and Commander: The Far Side of the World,2003.0,"Action,Adventure,Drama",7.4,200717
660,Planet Terror,2007.0,"Action,Adventure,Comedy",7.1,199218
667,Agents of S.H.I.E.L.D.,2013.0,"Action,Adventure,Drama",7.5,197657
676,Everest,2015.0,"Action,Adventure,Biography",7.1,195533
683,Jessica Jones,2015.0,"Action,Crime,Drama",7.9,191467
690,The Raid: Redemption,2011.0,"Action,Thriller",7.6,189421
702,The Karate Kid,1984.0,"Action,Drama,Family",7.3,185913
708,The Blues Brothers,1980.0,"Action,Adventure,Comedy",7.9,181640
709,The Next Three Days,2010.0,"Action,Crime,Drama",7.4,181220
713,The Punisher,2017.0,"Action,Crime,Drama",8.5,180415
715,El Camino: A Breaking Bad Movie,2019.0,"Action,Crime,Drama",7.3,179657
718,The Hunt for Red October,1990.0,"Action,Adventure,Thriller",7.6,179195
721,The Life Aquatic with Steve Zissou,2004.0,"Action,Adventure,Comedy",7.3,178653
726,Grindhouse,2007.0,"Action,Horror,Thriller",7.5,177423
737,Stargate,1994.0,"Action,Adventure,Sci-Fi",7.1,174298
738,Hero,2002.0,"Action,Adventure,History",7.9,173344
745,Ronin,1998.0,"Action,Crime,Thriller",7.3,171318
748,The Iron Giant,1999.0,"Action,Adventure,Animation",8.0,170748
750,Desperado,1995.0,"Action,Crime,Thriller",7.2,170400
751,24,2001.0,"Action,Crime,Drama",8.3,170218
